,date,long_trades,short_trades,short_returns,long_returns,total_returns,initial_investment,total_capital,total_investment,returns_1,transaction_cost,weekly_date,monthly_date
0,2019-05-05,0,0,0.0,0.0,0.0,5000.0,10000.0,0.0,0.0,0.0,2019-04-28,2019-04-05
1,2019-05-06,2,0,0.0,0.0,0.0,5000.0,5006.2000732421875,4993.7999267578125,0.0,99.87599853515626,2019-04-29,2019-04-06
2,2019-05-07,3,0,0.0,-29.43988037109375,-29.43988037109375,2503.1000366210938,2520.4400634765625,7479.5599365234375,-0.002943988037109375,149.00240112304687,2019-04-30,2019-04-07
3,2019-05-08,4,0,0.0,15.880126953125,15.880126953125,1260.2200317382812,1288.8800964355469,8711.119903564453,0.0015880126953125,174.54000061035157,2019-05-01,2019-04-08
4,2019-05-09,5,0,0.0,104.03985595703125,104.03985595703125,644.4400482177734,666.1400909423828,9333.859909057617,0.010403985595703125,188.75799530029298,2019-05-02,2019-04-09
5,2019-05-10,6,0,0.0,175.18002319335938,175.18002319335938,333.0700454711914,354.98008728027344,9645.019912719727,0.017518002319335937,196.40399871826173,2019-05-03,2019-04-10
6,2019-05-11,6,0,0.0,175.18002319335938,175.18002319335938,177.49004364013672,354.98008728027344,9645.019912719727,0.017518002319335937,196.40399871826173,2019-05-04,2019-04-11
7,2019-05-12,6,0,0.0,175.18002319335938,175.18002319335938,177.49004364013672,354.98008728027344,9645.019912719727,0.017518002319335937,196.40399871826173,2019-05-05,2019-04-12
8,2019-05-13,6,1,-29.43994140625,124.08016967773438,94.64022827148438,177.49004364013672,2684.230155944824,9772.08991241455,0.009464022827148437,198.2082014465332,2019-05-06,2019-04-13
9,2019-05-14,6,1,-29.43994140625,171.24991607666016,141.80997467041016,1342.115077972412,2684.230155944824,9772.08991241455,0.014180997467041016,199.1515963745117,2019-05-07,2019-04-14
10,2019-05-15,6,1,-29.43994140625,163.11004638671875,133.67010498046875,1342.115077972412,2684.230155944824,9772.08991241455,0.013367010498046875,198.9887989807129,2019-05-08,2019-04-15
11,2019-05-16,7,1,-29.43994140625,208.1800994873047,178.7401580810547,1342.115077972412,2128.3801651000977,10327.939903259277,0.017874015808105468,211.00719985961913,2019-05-09,2019-04-16
12,2019-05-17,7,1,-29.43994140625,215.72008514404297,186.28014373779297,1064.1900825500488,2128.3801651000977,10327.939903259277,0.018628014373779297,211.1579995727539,2019-05-10,2019-04-17
13,2019-05-18,7,1,-29.43994140625,215.72008514404297,186.28014373779297,1064.1900825500488,2128.3801651000977,10327.939903259277,0.018628014373779297,211.1579995727539,2019-05-11,2019-04-18
14,2019-05-19,7,1,-29.43994140625,215.72008514404297,186.28014373779297,1064.1900825500488,2128.3801651000977,10327.939903259277,0.018628014373779297,211.1579995727539,2019-05-12,2019-04-19
15,2019-05-20,6,2,-29.73993682861328,237.5801773071289,207.84024047851562,1064.1900825500488,2439.2401733398438,10327.939903259277,0.02078402404785156,210.71560287475586,2019-05-13,2019-04-20
16,2019-05-21,7,2,-29.73993682861328,326.69022369384766,296.9502868652344,1219.6200866699219,1932.4801635742188,10834.699913024902,0.029695028686523437,222.63300399780272,2019-05-14,2019-04-21
17,2019-05-22,8,2,-29.73993682861328,341.14013671875,311.4001998901367,966.2400817871094,1845.1901626586914,10921.98991394043,0.03114001998901367,224.66780227661133,2019-05-15,2019-04-22
18,2019-05-23,8,2,-29.73993682861328,341.39002990722656,311.6500930786133,922.5950813293457,1845.1901626586914,10921.98991394043,0.031165009307861327,224.67280014038084,2019-05-16,2019-04-23
19,2019-05-24,8,2,-29.73993682861328,342.2201156616211,312.4801788330078,922.5950813293457,1845.1901626586914,10921.98991394043,0.031248017883300783,224.68940185546876,2019-05-17,2019-04-24
20,2019-05-25,8,2,-29.73993682861328,342.2201156616211,312.4801788330078,922.5950813293457,1845.1901626586914,10921.98991394043,0.031248017883300783,224.68940185546876,2019-05-18,2019-04-25
21,2019-05-26,8,2,-29.73993682861328,342.2201156616211,312.4801788330078,922.5950813293457,1845.1901626586914,10921.98991394043,0.031248017883300783,224.68940185546876,2019-05-19,2019-04-26
22,2019-05-27,8,2,-29.73993682861328,342.2201156616211,312.4801788330078,922.5950813293457,1845.1901626586914,10921.98991394043,0.031248017883300783,224.68940185546876,2019-05-20,2019-04-27
23,2019-05-28,3,7,2.3301010131835938,247.8499298095703,250.1800308227539,922.5950813293457,4452.6801834106445,10921.98991394043,0.025018003082275392,223.44339889526367,2019-05-21,2019-04-28
24,2019-05-29,3,8,5.380104064941406,269.72015380859375,275.10025787353516,2226.3400917053223,4260.690200805664,11672.879890441895,0.027510025787353516,238.95960296630858,2019-05-22,2019-04-29
25,2019-05-30,4,8,5.380104064941406,297.51002502441406,302.89012908935547,2130.345100402832,3365.170181274414,12568.399909973145,0.030289012908935545,257.42580078125,2019-05-23,2019-04-30
26,2019-05-31,4,8,5.380104064941406,324.2100372314453,329.5901412963867,1682.585090637207,3365.170181274414,12568.399909973145,0.03295901412963867,257.9598010253906,2019-05-24,2019-05-01
27,2019-06-05,5,8,5.380104064941406,629.9100570678711,635.2901611328125,1682.585090637207,1739.5702056884766,14193.999885559082,0.06352901611328125,296.5858009338379,2019-05-29,2019-05-06
